window_index,utc_date,weekday,first_m1_utc,last_m1_utc,m1_bar_count,gap_count_touching_day,gap_boundaries_ending_0100_utc
2,2026-06-08,Monday,2026-06-08T15:15:00Z,2026-06-08T23:59:00Z,525,1,1
2,2026-06-09,Tuesday,2026-06-09T01:00:00Z,2026-06-09T23:59:00Z,1380,2,2
2,2026-06-10,Wednesday,2026-06-10T01:00:00Z,2026-06-10T23:59:00Z,1380,2,2
2,2026-06-11,Thursday,2026-06-11T01:00:00Z,2026-06-11T23:59:00Z,1380,2,2
2,2026-06-12,Friday,2026-06-12T01:00:00Z,2026-06-12T23:57:00Z,1378,1,1
3,2026-06-15,Monday,2026-06-15T01:00:00Z,2026-06-15T23:59:00Z,1380,1,1
3,2026-06-16,Tuesday,2026-06-16T01:00:00Z,2026-06-16T23:59:00Z,1380,2,2
3,2026-06-17,Wednesday,2026-06-17T01:00:00Z,2026-06-17T23:59:00Z,1380,2,2
3,2026-06-18,Thursday,2026-06-18T01:00:00Z,2026-06-18T23:59:00Z,1380,2,2
3,2026-06-19,Friday,2026-06-19T01:00:00Z,2026-06-19T20:00:00Z,1141,1,1
4,2026-06-22,Monday,2026-06-22T01:00:00Z,2026-06-22T23:59:00Z,1380,1,1
4,2026-06-23,Tuesday,2026-06-23T01:00:00Z,2026-06-23T23:59:00Z,1380,2,2
4,2026-06-24,Wednesday,2026-06-24T01:00:00Z,2026-06-24T23:59:00Z,1380,2,2
4,2026-06-25,Thursday,2026-06-25T01:00:00Z,2026-06-25T23:59:00Z,1380,2,2
4,2026-06-26,Friday,2026-06-26T01:00:00Z,2026-06-26T23:57:00Z,1378,1,1
5,2026-06-29,Monday,2026-06-29T01:00:00Z,2026-06-29T23:59:00Z,1380,1,1
5,2026-06-30,Tuesday,2026-06-30T01:00:00Z,2026-06-30T23:59:00Z,1380,2,2
5,2026-07-01,Wednesday,2026-07-01T01:00:00Z,2026-07-01T23:59:00Z,1380,2,2
5,2026-07-02,Thursday,2026-07-02T01:00:00Z,2026-07-02T23:59:00Z,1380,2,2
5,2026-07-03,Friday,2026-07-03T01:00:00Z,2026-07-03T20:00:00Z,1141,1,1
