window_index,utc_date,weekday,first_m1_utc,last_m1_utc,m1_bar_count,gap_count_touching_day,gap_boundaries_ending_0100_utc
3,2026-07-06,Monday,2026-07-06T01:00:00Z,2026-07-06T23:59:00Z,1380,1,1
3,2026-07-07,Tuesday,2026-07-07T01:00:00Z,2026-07-07T23:59:00Z,1380,2,2
3,2026-07-08,Wednesday,2026-07-08T01:00:00Z,2026-07-08T23:59:00Z,1380,2,2
3,2026-07-09,Thursday,2026-07-09T01:00:00Z,2026-07-09T23:59:00Z,1380,2,2
3,2026-07-10,Friday,2026-07-10T01:00:00Z,2026-07-10T23:57:00Z,1378,1,1
4,2026-09-07,Monday,2026-09-07T01:00:00Z,2026-09-07T21:36:00Z,1237,1,1
4,2026-09-08,Tuesday,2026-09-08T01:00:00Z,2026-09-08T23:58:00Z,1379,2,2
4,2026-09-09,Wednesday,2026-09-09T01:00:00Z,2026-09-09T23:58:00Z,1379,2,2
4,2026-09-10,Thursday,2026-09-10T01:00:00Z,2026-09-10T23:59:00Z,1380,2,2
4,2026-09-11,Friday,2026-09-11T01:00:00Z,2026-09-11T23:57:00Z,1378,1,1
